Name,Site type,Community,Location
Creigiau Eglwyseg Stone Circle,Stone circle,Llantysilio,"52°59′52″N 3°09′05″W﻿ / ﻿52.9979°N 3.1515°W, SJ228451"
Eglwyseg Mountain Round Barrow,Round barrow,Llantysilio,"53°00′31″N 3°08′49″W﻿ / ﻿53.0086°N 3.147°W, SJ231463"
Eliseg's Pillar,Round barrow with inscribed pillar,Llantysilio,"52°59′32″N 3°11′21″W﻿ / ﻿52.9921°N 3.1893°W, SJ202445"
Moel Gamelin Round Barrow,Round barrow,Llantysilio,"53°00′35″N 3°13′45″W﻿ / ﻿53.0096°N 3.2291°W, SJ176465"
Rhewl Round Barrows,Round barrow,Llanynys,"53°07′58″N 3°19′34″W﻿ / ﻿53.1329°N 3.3261°W, SJ113603"
Bwlch-Du Round Barrow,Round barrow,Nantglyn,"53°06′36″N 3°30′41″W﻿ / ﻿53.11°N 3.5114°W, SH989580"
Gorsedd Bran Round Barrows,Platform Cairn,Nantglyn,"53°07′47″N 3°32′06″W﻿ / ﻿53.1296°N 3.5351°W, SH973602"
"Round Barrow at Coed Bell, Gronant",Round barrow,Prestatyn,"53°20′06″N 3°22′18″W﻿ / ﻿53.3351°N 3.3718°W, SJ087828"
Round Barrow West of Ty Draw,Round barrow,Prestatyn,"53°19′08″N 3°23′51″W﻿ / ﻿53.319°N 3.3976°W, SJ069811"
Castle Farm Round Barrow,Round barrow,Ruthin,"53°06′45″N 3°18′27″W﻿ / ﻿53.1126°N 3.3075°W, SJ125580"
Criafol Round Barrow,Round barrow,Tremeirchion,"53°16′27″N 3°21′41″W﻿ / ﻿53.2742°N 3.3614°W, SJ093761"
Round Barrow 270m NW of Traveller's Inn,Round barrow,Tremeirchion,"53°16′22″N 3°20′06″W﻿ / ﻿53.2727°N 3.335°W, SJ110759"
Round Barrow 800m NE of Criafol Farm,Round barrow,Tremeirchion,"53°16′47″N 3°20′57″W﻿ / ﻿53.2797°N 3.3492°W, SJ101767"
Two Round Barrows on Moel Maen Efa,Round barrow,Tremeirchion,"53°15′30″N 3°22′13″W﻿ / ﻿53.2583°N 3.3703°W, SJ086743"
Coed Clwyd Cairns,Round barrow,Waen,"53°08′33″N 3°15′27″W﻿ / ﻿53.1424°N 3.2576°W, SJ159613"
Dinas Melin-y-Wig,Hillfort,Betws Gwerfil Goch,"53°01′52″N 3°25′09″W﻿ / ﻿53.0312°N 3.4193°W, SJ049491"
Mynydd Rhyd Ddu Enclosure,Hillfort,Betws Gwerfil Goch,"53°01′07″N 3°24′37″W﻿ / ﻿53.0187°N 3.4104°W, SJ054477"
Moel y Gaer,Hillfort,Bodfari,"53°13′35″N 3°21′24″W﻿ / ﻿53.2265°N 3.3568°W, SJ095707"
"Moel y Gaer, Cefn",Hillfort,Bryneglwys,"53°00′29″N 3°14′34″W﻿ / ﻿53.0081°N 3.2428°W, SJ167463"
Bedd-y-Cawr Hillfort,Hillfort,Cefnmeiriadog,"53°14′11″N 3°28′48″W﻿ / ﻿53.2364°N 3.4799°W, SJ013720"
Pont Petryal Caerau Circles,Enclosure,Clocaenog,"53°03′29″N 3°25′44″W﻿ / ﻿53.0581°N 3.429°W, SJ043521"
Bwrdd y Tri Arglwydd Boundary Stone,Boundary stone,Corwen,"53°00′40″N 3°20′11″W﻿ / ﻿53.011°N 3.3364°W, SJ104468"
Caer Drewen Camp,Hillfort,Corwen,"52°59′21″N 3°21′36″W﻿ / ﻿52.9892°N 3.3601°W, SJ087444"
Moel Fodig Camp,Hillfort,Corwen,"53°00′03″N 3°20′54″W﻿ / ﻿53.0007°N 3.3482°W, SJ096456"
Y Garth Camp,Enclosure,Cyffylliog,"53°07′03″N 3°22′30″W﻿ / ﻿53.1174°N 3.3751°W, SJ080586"
Gwerclas Mound,Mound,Cynwyd,"52°58′06″N 3°24′36″W﻿ / ﻿52.9682°N 3.4101°W, SJ053421"
"Y Gaerwen Enclosure, Llangar",Enclosure,Cynwyd,"52°57′17″N 3°26′59″W﻿ / ﻿52.9547°N 3.4498°W, SJ027406"
Moel Hiraddug Hillfort,Hillfort,Dyserth,"53°17′37″N 3°24′21″W﻿ / ﻿53.2937°N 3.4057°W, SJ064783"
Craig Adwywynt Camp,Hillfort,Efenechtyd,"53°04′45″N 3°18′46″W﻿ / ﻿53.0793°N 3.3129°W, SJ121543"
Pen-y-Gaer Camp,Hillfort,Efenechtyd,"53°05′00″N 3°20′11″W﻿ / ﻿53.0832°N 3.3364°W, SJ105548"
Moel Fenlli Camp,Hillfort,Llanbedr Dyffryn Clwyd,"53°07′53″N 3°15′08″W﻿ / ﻿53.1314°N 3.2523°W, SJ163600"
Moel-y-Gaer Camp,Hillfort,Llanbedr Dyffryn Clwyd,"53°08′46″N 3°16′27″W﻿ / ﻿53.146°N 3.2742°W, SJ148617"
Craig yr Uchain,Enclosure,Llandrillo,"52°55′04″N 3°27′08″W﻿ / ﻿52.9179°N 3.4523°W, SJ024366"
Platform Settlement by Clochnant E of Cadwst,Unenclosed hut circle,Llandrillo,"52°54′21″N 3°25′07″W﻿ / ﻿52.9058°N 3.4186°W, SJ046352"
Moel Arthur Camp,Hillfort,Llandyrnog,"53°11′05″N 3°16′50″W﻿ / ﻿53.1846°N 3.2806°W, SJ145660"
Pen-y-Cloddiau Camp,Hillfort,Llandyrnog,"53°11′55″N 3°18′19″W﻿ / ﻿53.1986°N 3.3054°W, SJ128676"
Prestatyn Roman Site,Settlement,Prestatyn,"53°19′31″N 3°24′37″W﻿ / ﻿53.3253°N 3.4104°W, SJ061818"
Blaen-y-Cwm Inscribed Stone (Now in Llandrillo Church),Inscribed stone,Llandrillo,"52°55′20″N 3°26′16″W﻿ / ﻿52.9223°N 3.4379°W, SJ034370"
Plas-newydd Romano-British temple cropmark,Temple,Llanfair Dyffryn Clwyd,"53°05′31″N 3°17′24″W﻿ / ﻿53.0919°N 3.2901°W, SJ137557"
"Ffynnon Fair (Well), Cefn",Holy Well,Cefnmeiriadog,"53°13′40″N 3°27′21″W﻿ / ﻿53.2278°N 3.4557°W, SJ029710"
Corwen Churchyard Cross,Cross,Corwen,"52°58′48″N 3°22′25″W﻿ / ﻿52.98°N 3.3736°W, SJ079433"
Owain Glyndwr's Mount,Motte,Corwen,"52°58′41″N 3°18′17″W﻿ / ﻿52.9781°N 3.3046°W, SJ125431"
Coed Llynor Long Hut,Deserted Rural Settlement,Cynwyd,"52°55′27″N 3°23′06″W﻿ / ﻿52.9242°N 3.3851°W, SJ069372"
Llangar Old Parish Church,Church,Cynwyd,"52°58′16″N 3°23′45″W﻿ / ﻿52.9712°N 3.3959°W, SJ063424"
Coed Clattwn Moated Site,Moated Site,Denbigh,"53°12′27″N 3°25′52″W﻿ / ﻿53.2076°N 3.431°W, SJ045687"
Denbigh Castle and Medieval Town,Castle,Denbigh,"53°10′50″N 3°25′14″W﻿ / ﻿53.1806°N 3.4206°W, SJ051657"
Denbigh Friary,Friary,Denbigh,"53°11′16″N 3°24′33″W﻿ / ﻿53.1878°N 3.4091°W, SJ059665"
Denbigh Medieval Town (North - Eastern Corner),Town,Denbigh,"53°10′54″N 3°25′09″W﻿ / ﻿53.1816°N 3.4191°W, SJ052658"
Denbigh Town Walls,Town defences,Denbigh,"53°10′51″N 3°25′09″W﻿ / ﻿53.1808°N 3.4191°W, SJ052657"
Llys Gwenllian Mound & Bailey,Motte & Bailey,Denbigh,"53°10′06″N 3°24′47″W﻿ / ﻿53.1682°N 3.4131°W, SJ056643"
"Denbigh, St Hilary's Chapel",Tower,Denbigh,"53°10′54″N 3°25′11″W﻿ / ﻿53.1818°N 3.4198°W, SJ052659"
Derwen Churchyard Cross,Cross,Derwen,"53°02′45″N 3°23′18″W﻿ / ﻿53.0457°N 3.3882°W, SJ070507"
Dyserth Castle,Castle,Dyserth,"53°18′28″N 3°24′40″W﻿ / ﻿53.3079°N 3.4111°W, SJ060799"
Siamber-Wen Medieval House,House (domestic),Dyserth,"53°18′21″N 3°24′36″W﻿ / ﻿53.3057°N 3.4101°W, SJ061796"
Old Foxhall Earth Circle,Enclosure,Henllan,"53°11′42″N 3°26′47″W﻿ / ﻿53.195°N 3.4465°W, SJ034674"
Pysgodlan Moated Site,Moated Site,Henllan,"53°12′44″N 3°26′22″W﻿ / ﻿53.2122°N 3.4394°W, SJ039693"
Tomen y Faerdre Castle Mound,Motte,Llanarmon-yn-Ial,"53°05′47″N 3°12′22″W﻿ / ﻿53.0964°N 3.2062°W, SJ193561"
"Churchyard Cross, St Meugan's Church",Cross,Llanbedr Dyffryn Clwyd,"53°06′36″N 3°17′10″W﻿ / ﻿53.11°N 3.2861°W, SJ140577"
Tomen y Rhodwydd (Castell yr Adwy) Mound and Bailey Castle,Motte & Bailey,Llandegla,"53°03′19″N 3°13′46″W﻿ / ﻿53.0553°N 3.2294°W, SJ176516"
Cwm Tywyll House Platforms,House platform,Llandrillo,"52°53′40″N 3°25′09″W﻿ / ﻿52.8944°N 3.4192°W, SJ046339"
Ffridd Camen Hafodydd,Platform house,Llandrillo,"52°54′01″N 3°25′21″W﻿ / ﻿52.9003°N 3.4225°W, SJ044345"
Ffridd Camen Long Hut,Rectangular hut,Llandrillo,"52°54′07″N 3°25′17″W﻿ / ﻿52.9019°N 3.4213°W, SJ044347"
Ffridd yr Eglwys Deserted Rural Settlement,Rectangular hut,Llandrillo,"52°53′24″N 3°26′10″W﻿ / ﻿52.8899°N 3.4361°W, SJ034334"
Gwern Wynodl Hafod,Platform house,Llandrillo,"52°54′29″N 3°25′20″W﻿ / ﻿52.908°N 3.4223°W, SJ044354"
Nant Gwyn Long Hut,Deserted Rural Settlement,Llandrillo,"52°55′34″N 3°23′14″W﻿ / ﻿52.9261°N 3.3872°W, SJ068374"
Coed Henblas Moated Site,Moated Site,Llanfair Dyffryn Clwyd,"53°05′13″N 3°16′29″W﻿ / ﻿53.087°N 3.2748°W, SJ147551"
Castell Dinas Bran,Castle,Llangollen,"52°58′44″N 3°09′30″W﻿ / ﻿52.979°N 3.1584°W, SJ223430"
Llangollen Bridge,Bridge,Llangollen,"52°58′16″N 3°10′13″W﻿ / ﻿52.971°N 3.1702°W, SJ215421"
Hen Ddinbych Circular Platforms,Enclosure,Llanrhaeadr-yng-Nghinmeirch,"53°05′42″N 3°30′33″W﻿ / ﻿53.0949°N 3.5093°W, SH990563"
Valle Crucis Abbey,Abbey,Llantysilio,"52°59′20″N 3°11′12″W﻿ / ﻿52.9888°N 3.1867°W, SJ204441"
Prestatyn Castle,Castle,Prestatyn,"53°20′18″N 3°23′39″W﻿ / ﻿53.3383°N 3.3943°W, SJ072833"
Criccin Cross,Cross shaft,Rhuddlan,"53°16′57″N 3°26′23″W﻿ / ﻿53.2826°N 3.4396°W, SJ041771"
Part of site of Rhuddlan Norman Borough,Town,Rhuddlan,"53°17′18″N 3°27′42″W﻿ / ﻿53.2882°N 3.4617°W, SJ026778"
Rhuddlan Bridge,Bridge,Rhuddlan,"53°17′24″N 3°28′08″W﻿ / ﻿53.2899°N 3.4689°W, SJ021779"
Rhuddlan Castle,Castle,Rhuddlan,"53°17′21″N 3°27′54″W﻿ / ﻿53.2891°N 3.465°W, SJ024779"
Rhuddlan Town Banks,Town defences,Rhuddlan,"53°17′33″N 3°28′05″W﻿ / ﻿53.2925°N 3.468°W, SJ022782"
"Twthill, Rhuddlan",Motte & Bailey,Rhuddlan,"53°17′14″N 3°27′43″W﻿ / ﻿53.2871°N 3.4619°W, SJ026776"
Ffynogion Moated Site,Moated Site,Ruthin,"53°05′45″N 3°18′12″W﻿ / ﻿53.0958°N 3.3032°W, SJ128561"
Ruthin Castle,Castle,Ruthin,"53°06′45″N 3°18′42″W﻿ / ﻿53.1124°N 3.3116°W, SJ123580"
Deeside Slateworks,Water Power System,Corwen,"52°58′07″N 3°16′08″W﻿ / ﻿52.9686°N 3.269°W, SJ148420"
Pont Carrog,Bridge,Corwen,"52°59′01″N 3°19′09″W﻿ / ﻿52.9835°N 3.3192°W, SJ115437"
Rhug ornamental wrought iron gates,Gate,Corwen,"52°58′57″N 3°24′35″W﻿ / ﻿52.9824°N 3.4097°W, SJ054437"
Rug Chapel,Chapel,Corwen,"52°59′03″N 3°23′39″W﻿ / ﻿52.9842°N 3.3942°W, SJ064438"
Pont Dyfrdwy,Bridge,Cynwyd,"52°57′37″N 3°24′41″W﻿ / ﻿52.9602°N 3.4114°W, SJ052412"
Civil War Earthworks,Siegeworks,Denbigh,"53°10′55″N 3°25′00″W﻿ / ﻿53.182°N 3.4168°W, SJ054659"
"Leicester's Church, Denbigh",Church,Denbigh,"53°10′56″N 3°25′08″W﻿ / ﻿53.1822°N 3.419°W, SJ053659"
"Clive Engine House, Meliden",Engine house,Dyserth,"53°18′31″N 3°25′04″W﻿ / ﻿53.3085°N 3.4179°W, SJ056799"
New Foxhall Dovecot,Dovecote,Henllan,"53°11′44″N 3°27′11″W﻿ / ﻿53.1955°N 3.4531°W, SJ030674"
New Foxhall House,House (domestic),Henllan,"53°11′45″N 3°27′13″W﻿ / ﻿53.1958°N 3.4537°W, SJ029675"
Pont Cilan,Bridge,Llandrillo,"52°55′32″N 3°27′27″W﻿ / ﻿52.9256°N 3.4575°W, SJ021374"
Pontcysyllte Aqueduct and Canal [165],Aqueduct,Llangollen,"52°58′13″N 3°05′16″W﻿ / ﻿52.9702°N 3.0878°W, SJ270419"
Maen Huail,Stone,Ruthin,"53°06′52″N 3°18′39″W﻿ / ﻿53.1144°N 3.3108°W, SJ123582"
Ruthin Churchyard Ornamental Wrought Iron Gates & Screen,Gate,Ruthin,"53°06′54″N 3°18′39″W﻿ / ﻿53.1151°N 3.3108°W, SJ124583"
Pont Dafydd (old),Bridge,St Asaph,"53°15′49″N 3°26′06″W﻿ / ﻿53.2636°N 3.4349°W, SJ043750"
St Asaph Bridge,Bridge,St Asaph,"53°15′23″N 3°26′51″W﻿ / ﻿53.2564°N 3.4476°W, SJ035742"
"Pennant Mines Winding Engine House & Chimney, Rhuallt",Engine house,Tremeirchion,"53°16′02″N 3°22′10″W﻿ / ﻿53.2673°N 3.3694°W, SJ087753"
First World War Practice Trenches at Bodelwyddan Park,Practice trenches,Bodelwyddan,"53°15′28″N 3°30′00″W﻿ / ﻿53.2577°N 3.4999°W, SJ000744"
Penbedw Park Stone Circle & Standing Stone,Stone circle,Nannerch,".mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}53°12′07″N 3°14′45″W﻿ / ﻿53.2019°N 3.2457°W, SJ168679"
Gop Caves,Cave,Trelawnyd and Gwaenysgor,"53°18′35″N 3°22′21″W﻿ / ﻿53.3097°N 3.3726°W, SJ086800"
Carreg-y-llech standing stone,Standing stone,Treuddyn,"53°07′01″N 3°07′26″W﻿ / ﻿53.117°N 3.124°W, SJ248583"
Circle & Two Round Barrows on Southern Portion of Holywell Golf Course,Round barrow,Brynford,"53°15′55″N 3°14′20″W﻿ / ﻿53.2654°N 3.2389°W, SJ174749"
Gatehouse Farm round barrow,Round barrow,Brynford,"53°15′15″N 3°15′27″W﻿ / ﻿53.2541°N 3.2575°W, SJ162737"
Round Barrow 400m SE of Smithy Gate,Round barrow,Brynford,"53°16′04″N 3°13′48″W﻿ / ﻿53.2679°N 3.2301°W, SJ180752"
"Round Barrow at Naid y March, Holywell Common",Round barrow,Brynford,"53°16′08″N 3°15′10″W﻿ / ﻿53.2688°N 3.2527°W, SJ165753"
Two Round Barrows 90m NE of Eosfan,Round barrow,Brynford,"53°15′22″N 3°13′49″W﻿ / ﻿53.2562°N 3.2303°W, SJ180739"
Coed Bron-Fawr Round Barrow,Round barrow,Caerwys,"53°15′11″N 3°20′53″W﻿ / ﻿53.253°N 3.348°W, SJ101737"
Coed Glyn-Bach Round Barrow,Round barrow,Caerwys,"53°15′00″N 3°20′32″W﻿ / ﻿53.2501°N 3.3422°W, SJ105734"
Coed Shepherd Round Barrow,Round barrow,Caerwys,"53°15′13″N 3°20′04″W﻿ / ﻿53.2536°N 3.3344°W, SJ110737"
Ffrith y Garreg-Wen Round Barrow,Round barrow,Caerwys,"53°16′23″N 3°17′51″W﻿ / ﻿53.273°N 3.2974°W, SJ135759"
Pant Ifan Round Barrow,Round barrow,Caerwys,"53°15′21″N 3°21′07″W﻿ / ﻿53.2557°N 3.352°W, SJ098740"
Pen-y-graig round barrow,Round barrow,Caerwys,"53°16′03″N 3°18′53″W﻿ / ﻿53.2675°N 3.3147°W, SJ124753"
Round Barrow 153m NW of Plas yn Rhos,Round barrow,Caerwys,"53°15′33″N 3°19′35″W﻿ / ﻿53.2591°N 3.3265°W, SJ116743"
Round Barrow 225m E of Minffordd Cottage,Round barrow,Caerwys,"53°16′17″N 3°19′22″W﻿ / ﻿53.2713°N 3.3229°W, SJ118757"
Plas-Yw Round Barrows,Round barrow,Cilcain,"53°11′37″N 3°15′21″W﻿ / ﻿53.1936°N 3.2557°W, SJ162670"
Rhual-Isaf Round Barrow,Round barrow,Gwernaffield,"53°10′34″N 3°09′37″W﻿ / ﻿53.1761°N 3.1603°W, SJ225649"
Hen-y-Fail Round Barrow,Round barrow,Halkyn,"53°13′02″N 3°12′16″W﻿ / ﻿53.2173°N 3.2045°W, SJ196695"
Round Barrow 180m E of Mwccwd,Round barrow,Halkyn,"53°13′28″N 3°13′44″W﻿ / ﻿53.2245°N 3.2288°W, SJ180704"
Round Barrow at Pentrehobin,Round barrow,Leeswood,"53°09′16″N 3°07′35″W﻿ / ﻿53.1544°N 3.1263°W, SJ247625"
Barrows 378m E of Berthen-Gam School,Round barrow,Llanasa,"53°18′25″N 3°19′12″W﻿ / ﻿53.3069°N 3.32°W, SJ121796"
Berthen-Gam Round Barrow,Round barrow,Llanasa,"53°18′24″N 3°19′41″W﻿ / ﻿53.3066°N 3.3281°W, SJ116796"
Round Barrow 270m E of Axton Baptist Chapel,Round barrow,Llanasa,"53°18′39″N 3°20′25″W﻿ / ﻿53.3108°N 3.3402°W, SJ108801"
Round Barrows North West of Axton Baptist Chapel,Round barrow,Llanasa,"53°18′44″N 3°20′48″W﻿ / ﻿53.3121°N 3.3467°W, SJ103803"
St Elmo's Summer House Round Barrows,Round barrow,Llanasa,"53°19′31″N 3°22′41″W﻿ / ﻿53.3254°N 3.3781°W, SJ083818"
Tyn-y-caeau round barrow,Round barrow,Llanasa,"53°19′36″N 3°21′02″W﻿ / ﻿53.3267°N 3.3505°W, SJ101819"
Tynewdd round barrow,Round barrow,Llanasa,"53°19′32″N 3°21′20″W﻿ / ﻿53.3256°N 3.3555°W, SJ098818"
Plas Maen Cottage round barrow,Round barrow,Llanfynydd,"53°05′44″N 3°02′41″W﻿ / ﻿53.0955°N 3.0447°W, SJ301558"
Round Barrow 450m E of Penbedw Hall,Round barrow,Nannerch,"53°12′15″N 3°14′38″W﻿ / ﻿53.2043°N 3.244°W, SJ170681"
Nercwys Mountain Cairn,Cairn circle,Nercwys,"53°06′49″N 3°09′55″W﻿ / ﻿53.1136°N 3.1652°W, SJ221580"
Barrow on E Slope of Gop Hill,Round barrow,Trelawnyd and Gwaenysgor,"53°18′36″N 3°22′11″W﻿ / ﻿53.31°N 3.3697°W, SJ088801"
Bryn yr Odyn Round Barrow,Round barrow,Trelawnyd and Gwaenysgor,"53°18′45″N 3°21′31″W﻿ / ﻿53.3126°N 3.3585°W, SJ095803"
The Gop,Cairn,Trelawnyd and Gwaenysgor,"53°18′37″N 3°22′20″W﻿ / ﻿53.3104°N 3.3723°W, SJ086801"
Hen-dy round barrow,Round barrow,Trelawnyd and Gwaenysgor,"53°18′16″N 3°22′26″W﻿ / ﻿53.3045°N 3.3739°W, SJ085795"
Round Barrow 225m E of Village,Round barrow,Trelawnyd and Gwaenysgor,"53°19′03″N 3°23′04″W﻿ / ﻿53.3175°N 3.3845°W, SJ078809"
Round Barrow on Coed Yr Esgob,Round barrow,Trelawnyd and Gwaenysgor,"53°19′19″N 3°23′47″W﻿ / ﻿53.3219°N 3.3963°W, SJ070814"
Bryntirion round barrow,Round barrow,Treuddyn,"53°06′55″N 3°07′48″W﻿ / ﻿53.1153°N 3.1301°W, SJ244581"
Pen-y-stryt round barrow,Round barrow,Treuddyn,"53°06′44″N 3°08′00″W﻿ / ﻿53.1123°N 3.1333°W, SJ242578"
Pentre round barrow,Round barrow,Treuddyn,"53°06′31″N 3°08′12″W﻿ / ﻿53.1087°N 3.1366°W, SJ240574"
Bryn Digrif Round Barrows,Round barrow,Whitford,"53°18′02″N 3°18′48″W﻿ / ﻿53.3005°N 3.3134°W, SJ125789"
Coed-y-bryn round barrow,Round barrow,Whitford,"53°18′06″N 3°18′24″W﻿ / ﻿53.3018°N 3.3068°W, SJ130791"
Crown Wood Round Barrow,Round barrow,Whitford,"53°16′29″N 3°18′49″W﻿ / ﻿53.2746°N 3.3135°W, SJ125760"
Groesffordd round barrows,Round barrow,Whitford,"53°17′19″N 3°18′14″W﻿ / ﻿53.2887°N 3.3039°W, SJ131776"
Round Barrow 135m NW of Rosehill Farm Gorsedd,Round barrow,Whitford,"53°16′51″N 3°16′49″W﻿ / ﻿53.2807°N 3.2804°W, SJ147767"
Round Barrow 350m SW of Glol Farm,Round barrow,Whitford,"53°17′42″N 3°19′11″W﻿ / ﻿53.2951°N 3.3197°W, SJ121783"
Round Barrow 450m South West of Glol Farm,Round barrow,Whitford,"53°17′37″N 3°19′11″W﻿ / ﻿53.2936°N 3.3198°W, SJ121782"
Y Gorseddau Round Barrows,Round barrow,Whitford,"53°16′47″N 3°16′39″W﻿ / ﻿53.2798°N 3.2776°W, SJ149766"
Bryn y Cosyn Round Barrows,Round barrow,Ysceifiog,"53°14′40″N 3°13′50″W﻿ / ﻿53.2444°N 3.2305°W, SJ179726"
Groes Faen Bach round barrow,Round barrow,Ysceifiog,"53°14′44″N 3°16′47″W﻿ / ﻿53.2456°N 3.2798°W, SJ147728"
Llyfanod round barrow,Round barrow,Ysceifiog,"53°14′58″N 3°17′06″W﻿ / ﻿53.2495°N 3.285°W, SJ143732"
Llyn Du Round Barrow,Round barrow,Ysceifiog,"53°15′55″N 3°16′21″W﻿ / ﻿53.2653°N 3.2725°W, SJ152750"
Nook round barrow,Round barrow,Ysceifiog,"53°15′06″N 3°17′26″W﻿ / ﻿53.2516°N 3.2905°W, SJ139735"
Round Barrow 180m NW of Groesfaen,Round barrow,Ysceifiog,"53°14′54″N 3°16′56″W﻿ / ﻿53.2483°N 3.2821°W, SJ145731"
Round Barrow 225m SE of Parc y Prysau,Round barrow,Ysceifiog,"53°14′36″N 3°13′30″W﻿ / ﻿53.2433°N 3.2249°W, SJ183725"
Round Barrow 225m SE of Plas Newydd,Round barrow,Ysceifiog,"53°15′31″N 3°16′14″W﻿ / ﻿53.2586°N 3.2705°W, SJ153742"
Round Barrow 270m NW of Waen Isaf,Round barrow,Ysceifiog,"53°15′03″N 3°16′14″W﻿ / ﻿53.2507°N 3.2706°W, SJ153733"
Round Barrow 450m SSW of Llynfanod,Round barrow,Ysceifiog,"53°14′41″N 3°17′26″W﻿ / ﻿53.2447°N 3.2906°W, SJ139727"
Round Barrow 495m SE of Parc y Prysau,Round barrow,Ysceifiog,"53°14′30″N 3°13′20″W﻿ / ﻿53.2417°N 3.2223°W, SJ185723"
Round Barrow WSW of Llyfanod,Round barrow,Ysceifiog,"53°14′54″N 3°17′24″W﻿ / ﻿53.2482°N 3.2899°W, SJ140731"
Moel y Gaer Camp,Hillfort,Halkyn,"53°12′45″N 3°10′57″W﻿ / ﻿53.2124°N 3.1826°W, SJ211690"
Caer Estyn Hillfort,Hillfort,Hope,"53°06′36″N 3°01′34″W﻿ / ﻿53.1101°N 3.0262°W, SJ314574"
Moel Arthur Camp,Hillfort,Nannerch,"53°11′05″N 3°16′50″W﻿ / ﻿53.1846°N 3.2806°W, SJ145660"
Glol Camp,Enclosure,Whitford,"53°17′34″N 3°19′18″W﻿ / ﻿53.2929°N 3.3218°W, SJ119781"
Bron Fadog Enclosure,Enclosure,Ysceifiog,"53°14′21″N 3°17′19″W﻿ / ﻿53.2391°N 3.2886°W, SJ140721"
Bwrdd y Rhyfel Camp,Enclosure,Ysceifiog,"53°16′07″N 3°17′24″W﻿ / ﻿53.2686°N 3.2899°W, SJ140754"
Coed Trefraith Enclosure,Enclosure,Ysceifiog,"53°14′52″N 3°17′54″W﻿ / ﻿53.2479°N 3.2983°W, SJ134731"
Pen-y-Cloddiau Camp,Hillfort,Ysceifiog,"53°11′55″N 3°18′19″W﻿ / ﻿53.1986°N 3.3054°W, SJ128676"
Pentre Bridge Roman Site,Unclassified site,Flint,"53°14′26″N 3°07′05″W﻿ / ﻿53.2405°N 3.1181°W, SJ254720"
Ffrith Roman Site,Unclassified site,Llanfynydd,"53°05′24″N 3°04′04″W﻿ / ﻿53.0901°N 3.0679°W, SJ286552"
Wat's Dyke: Section from Bod Offa to Whitehouse Farm,Linear earthwork,Argoed,"53°09′48″N 3°06′04″W﻿ / ﻿53.1634°N 3.1012°W, SJ264634"
Wat's Dyke: Section W of Garreg-Lwyd,Linear earthwork,Argoed,"53°09′18″N 3°05′22″W﻿ / ﻿53.1549°N 3.0894°W, SJ272625"
Wat's Dyke: Sections S of Bryn y Bal,Earthwork (unclassified),Argoed,"53°10′21″N 3°06′37″W﻿ / ﻿53.1726°N 3.1104°W, SJ258645"
Wat's Dyke: Section in Fron Tydyr,Linear earthwork,Bagillt,"53°15′22″N 3°11′50″W﻿ / ﻿53.256°N 3.1972°W, SJ202738"
Wat's Dyke: Section in Wern Sirk Wood,Linear earthwork,Bagillt,"53°15′36″N 3°12′04″W﻿ / ﻿53.2601°N 3.2011°W, SJ199743"
Wat's Dyke: Section NE of Hen-Dy Farm,Linear earthwork,Buckley,"53°09′06″N 3°04′28″W﻿ / ﻿53.1518°N 3.0744°W, SJ282621"
Wat's Dyke: Section SE of Meadow Mills,Linear earthwork,Holywell,"53°16′51″N 3°12′53″W﻿ / ﻿53.2809°N 3.2148°W, SJ191766"
Wat's Dyke: Section E of Hope,Linear earthwork,Hope,"53°07′02″N 3°01′52″W﻿ / ﻿53.1173°N 3.0312°W, SJ310582"
Wat's Dyke: Section N of Bryn Estyn,Linear earthwork,Hope,"53°07′18″N 3°02′00″W﻿ / ﻿53.1217°N 3.0333°W, SJ309587"
Wat's Dyke: Section N of Carlton Grange,Linear earthwork,Hope,"53°07′24″N 3°02′05″W﻿ / ﻿53.1234°N 3.0347°W, SJ308589"
Wat's Dyke: Section N of Rhydyn Farm,Linear earthwork,Hope,"53°06′49″N 3°01′48″W﻿ / ﻿53.1135°N 3.0301°W, SJ311578"
"Wat's Dyke: Section N of the Rectory, Hope",Linear earthwork,Hope,"53°07′08″N 3°01′55″W﻿ / ﻿53.119°N 3.032°W, SJ310584"
Wat's Dyke: Section E and SE of Dyke Farm,Linear earthwork,Leeswood,"53°08′47″N 3°03′43″W﻿ / ﻿53.1464°N 3.0619°W, SJ290615"
Wat's Dyke: Section from Chester-Holywell Road to Soughton Farm,Linear earthwork,Northop,"53°12′14″N 3°08′51″W﻿ / ﻿53.204°N 3.1476°W, SJ234680"
